"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Stairmaster","Walk","","","","2025-12-26","","5316.830078125","","",""," *26/12/2025 Peter Oehlinger: Stairmaster @80spm Fueling: 66g/h + 0.75l*","1.50023913383484","0.984000027179718","","79","","130","140","","","0.597873081010844","60.01","83","0","0","0","","","","","","","","","","","","","","","","","2","5"
"Rowing or Heel Slides before every Workout","Rowing","5-10min Focus on good ROM through the knee with low load and don't push the pace. This is not cardio. Aim for about 22/min.","0.0833333333333333","","2025-12-27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Long Run - Knee safe","Run","Long run if your knee is not aggravated at all. Lets stay in touch this week to make sure we go into this confident that your knee isn't going to be pesky.","3.5","","2025-12-27","","40901.55078125","","",""," *27/12/2025 Peter Oehlinger: This one was tough. My legs were so heavy (I think from yesterday’s three hours). However, I think it was still a good long run. Fueling: 100g/h + 2l (getting enough water/fluids is quite a challenge. I just drink a lot I guess. Needed to stop at a cabin to get some extra water) Knee: feeling great didn’t feel anything during the run. Only at the end the patella started to act up a bit and after the run I feel the knee a bit. But considering that I did one fast downhill and two extremely steep ones it’s perfect. Ankle: not so good but I think it is similar to what happened to the right ankle back in May. I need to be extra careful but I should be able to train as usual.*","4.41971111297607","2.57100009918213","","177","","141","158","","","0.629383986160806","201.29","171","78","0","0","","","","","","","","","","","","","","","","","7","7"
"Rowing or Heel Slides before every Workout","Rowing","5-10min Focus on good ROM through the knee with low load and don't push the pace. This is not cardio. Aim for about 22/min.","0.0833333333333333","","2025-12-28","","0","","","","","0.0840619429945946","0","","21","","72","82","","","0.536591238798169","2.52","","","","","","","","","","","","","","","","","","","","","",""
"Pain-free Aerobic","Walk","Use 156bpm as an absolute ceiling. Do not use it as a target, just don't go above it. ONLY do modalities that do not bother knees or hips","1.5","","2025-12-28","","6466.7001953125","","",""," *28/12/2025 Peter Oehlinger: Stairmaster @85spm Fueling: 80g/h + 1.5l*","1.75086808204651","1.02600002288818","","84","","118","129","","","0.596616629529758","70.01","4","0","0","0","","","","","","","","","","","","","","","","","3","7"
"Shorter Run (w/ Strides)","Run","We're going to be doing strides a couple times per week. To be done immediately after the run. These are not sprints. Overall Scheme 6 reps 20 seconds 1-2 minutes easy recovery in between https://www.youtube.com/watch?v=SuSA9t0wM1Y Important Points Ease into these. Spend the first five seconds slowly come up onto pace. Run tall through the hips, with a slight forward lean Use long-distance form, with normal arm carriage and a relaxed upper body. No excessive arm drive like you would have running a 100m race. Stride should be like you are running a mile-5K. Instead of increasing cadence as high as you can go, emphasize knee drive and output-per-stride at a smooth effort. Let me know if you have any questions","1.23333333333333","","2025-12-29","","15323.0703125","","",""," *29/12/2025 Peter Oehlinger: Didn’t sleep well. Just a bad unproductive day. This is how the run felt as well.*","1.27078938484192","3.34899997711182","","179","","131","166","","","0.611698587071842","53","56","7","1","0","","","","","","","","","","","","","","","","","5","9"
"Peter: 160bpm 10% Incline Treadmill - HR Drift Test","Run","30 DEC 25 // 158 test // .06% drift // 10% incline @ 9.3km pace *The only way this test works is by not changing the treadmill speed once you have started your 1h5m, just start the test, get in the zone, and finish the whole 65 minutes at that speed* Heat is a massive issue during these tests, you must have a fan on you during this to stay as cool as possible (unless the room is super cold). TEST 0-10 minutes: 135-150 BPM 10-15 minutes: 151-162BPM 15-19 minutes: 162-166 BPM (push up above 162 slightly so we can get it to stabilize lower) 19-22: bring HR back down to 160. This is our stabilization period. You can start the timer once we get at least one min of stable 162bpm. 22-86 minutes: actual test period. don't change speed, let your HR move/drift. Once your HR stabilizes at 160bpm, DO NOT change the speed at ALL the entire test. We are tracking here how your HR drifts up, not how your speed changes. This is different than the track test. Full directions below. I want you to do this at 15% on the treadmill and target 160 BPM. Warmup, get your HR to stabilize at 160, and then start the test. Once your HR hits 160bpm the metabolic processes have more or less started, so I recommend warming up for the first 10 minutes under 150 BPM. IMPORTANT -Treadmills sometimes have time limits (like 60min) make sure you set the treadmill to something like 90 minutes or more -If treadmill only goes up to 60, I recommend restarting the workout on the treadmill after the warmup so it doesn't shut off in the test -Try and minimize the interruption so your test starts right at 160 BPM (or as close as possible). Let me know if you have any questions. Make sure not to adjust the speed or incline of the treadmill once the 60 minutes has started We want your HR to be stable at 160, so ideally look for values around 160 for a minute or two before you start the test. Once stabilized, run for 1:05 (hour and five min) at the exact same speed.","1.61666666666667","","2025-12-30","","14180","","",""," *30/12/2025 Peter Oehlinger: Treadmill AeT Test Incline: 10% Speed: 9.3km/h - 6:27min/km - 10:23min/mile Fueling: 45g before the run + 25g during warm up + 81g after the run Heat: no big issue. The combination of the treadmill fan and ice worked well. Thoughts: warm up was imo perfect. However, after pushing above 160, HR didn’t settle back to 160 within 3 min. I lowered the pace quite a bit (from 10.5km/h to 9km/h). HR dropped as I reduced the pace too much. I increased it to 9.3km/h for the test but should have increased it a bit more. Just didn’t want to adjust it 5min into the test and didn’t want to fail (i.e. reduce the pace again).* *30/12/2025 Peter Oehlinger: Add: my left calf is so sore and I don’t really understand why. It was already bad yesterday but today it’s even worse. The only explanation I have is that I removed the tape on Sunday.* *30/12/2025 Anna DeMonte: 30 DEC 25 // 158 test // .06% drift // 10% incline @ 9.3km pace* *30/12/2025 Anna DeMonte: The calve soreness, did this come during the test? Actually, when we do these incline tests running, one of the first muscles to fatigue the most is calves as we raise the incline. I'd expect much of this soreness came from the test today* *30/12/2025 Peter Oehlinger: No it was already there. I had issues on Monday and today before the test it was really bad. The test didn’t make it much worse though. Interestingly the test didn’t fatigue the muscles too much. My right leg feels pretty good. But let’s wait for tomorrow.*","1.65980803966522","2.37309905408299","","175","","152","167","","","0.742551779750873","102.67","17","60","17","0","","","","","","","","","","","","","","","","","8","5"
"Optional Pain-free Aerobic","Walk","Use 156bpm as an absolute ceiling. Do not use it as a target, just don't go above it. ONLY do modalities that do not bother knees or hips","1","","2025-12-30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indoor Rowing","Rowing","","","","2025-12-30","","0","","","","","0.0840683355927467","0","","22","","76","88","","","0.536591238798169","2.52","","","","","","","","","","","","","","","","","","","","","",""
"Stairmaster Optional (Added by Peter)","Walk","","2","","2025-12-30","","7073.83984375","","",""," *30/12/2025 Peter Oehlinger: Stairmaster 23min @85 97min @80 Fueling 100g/h + 1.5l*","1.99981474876404","0.982999980449677","","80","","122","133","","","0.595543547944019","79.95","24","0","0","0","","","","","","","","","","","","","","","","","4","7"
"Running","Walk","","","","2025-12-31","","3712.60009765625","","",""," *31/12/2025 Peter Oehlinger: Stairmaster @85 Fueling 45g/h + 0.5l*","1.00006139278412","1.03100001811981","","85","","131","140","","","0.600863689173318","40","54","0","0","0","","","","","","","","","","","","","","","","","3","5"
"Pain-free Aerobic","Run","Use 156bpm as an absolute ceiling. Do not use it as a target, just don't go above it. ONLY do modalities that do not bother knees or hips","1.5","","2025-12-31","","14858.2001953125","","","","","1.46881496906281","2.80999994277954","","177","","128","151","","","0.599586511456445","59.09","55","1","0","0","","","","","","","","","","","","","","","","","3","5"
"Peter: Run Power Work (No Sled)","Strength","This isn't a conditioning workout, this is a power workout. Make sure you are completely rested between sets and not carrying much fatigue from exercise to exercise. Really focus on power output with each exercise. Eventually your power will start to fall off, pay attention to when this happens. After this point, the workout is of little effectiveness. Let me know how this sessions feels + how long it takes. Warmup 1) 10 min easy jog or bike 2) Dynamic drills: high knees, A-skips, bounding, hip openers 3) 2×30 m accelerations (gradually building speed) 4) 2×20 m skips for height + distance Plyometric Series 3 rounds total full recovery between rounds (2-3 min) 1) Single-Leg Hops (in place) 6-8/leg 2) Broad Jump 3×2 jumps 3) Bounding (alternating legs) 2×20 m https://www.youtube.com/watch?v=b3124L0KK3Q 4) Lateral Skater Jumps 2×6/side Strength-Speed Block Rest 2–3 min between sets 1) Single-Leg KB Swings 4×6/leg Light–moderate (16–24 kg) https://www.youtube.com/watch?v=kGB1SwDHo3o 2) Explosive RDLs 4x4 (slow eccentric to mid shin, explosive concentric) 3) Trap Bar Deadlift Jumps 4x4 (Soft landing, 15-25% 1RM) 4) Vertical jump + stick 4 × 3 - Max vertical jump, soft landing, hold position 2–3 seconds -Do not chase fatigue or extra height with poor mechanics https://www.youtube.com/watch?v=gObPFKgofYE 5) Heavy kettlebell swings 3 × 6 Heavy but still fast, powerful hip extension If speed drops, stop the set https://www.youtube.com/shorts/2gXtvqLa_T8","1","","2026-01-01","","0","","",""," *01/01/2026 Peter Oehlinger: General thoughts: I like this workout a lot. Explosiveness has always been a big weakness for me. My jump height is a bit embarrassing 🙈 but I love to work on it 😊 At the end of the easy run following this workout I started to feel my legs. Plyometric Series Bounding is probably the most intense exercise in this series. In general no big issues. Feel the knee and ankle a bit but not pain. Strength-Speed Block 1) Single-Leg KB Swings 16kg with dumbbell. This is the most difficult exercise for me. I don’t really know what I should focus on. 2) Explosive RDLs 60kg 3) Trap Bar Deadlift Jumps 30kg 4) Vertical jump + stick Need to start on my toes. This feels so much better 5) Heavy kettlebell swings 20kg last set 24kg with dumbbell* *01/01/2026 Anna DeMonte: This is really good feedback, thank you for writing it out. On the explosiveness and jump height, i'd say this is definitely not to be embarrassed about! This is exactly why we are doing this.  Power is a trainable quality, especially as we haven't emphasized it yet. The goal for these early sessions is how cleanly and explosively you move.* *01/01/2026 Anna DeMonte: Feedback on your legs toward the end of the easy run afterward is also expected. This is really key here-> The power work is very neurologically and mechanically demanding, even though it does not feel like conditioning or a long run type of ""hard"". As long as that sensation clears by the next day and does not aggravate the knee or ankle, I'm happy with this! Let me know if you're feeling any of this tomorrow.* *01/01/2026 Anna DeMonte: For the plyos, bounding usually feels like the hardest piece, so that lines up in what I'd expect.. Lets go by this: light awareness in the knee and ankle is OK, but pain or increasing discomfort would not be. Keep me updated on this, again, our #1 goal throughout these entire blocks is to keep knees and ankles healthy to have quality long runs.*","1.36251640319824","0","","","","99","137","","","0.562738278029643","48.17","7","0","0","0","","","","","","","","","","","","","","","","","4","5"
"Pain-free Aerobic","Run","Use 156bpm as an absolute ceiling. Do not use it as a target, just don't go above it. ONLY do modalities that do not bother knees or hips","1.5","","2026-01-01","","14462.8203125","","","","","1.49229836463928","2.69199991226196","","173","","126","146","","","0.5985418793544","59.82","53","0","0","0","","","","","","","","","","","","","","","","","3","5"
"Stairmaster Optional (Added by Peter)","Walk","","2","","2026-01-01","","7430.4599609375","","",""," *01/01/2026 Peter Oehlinger: Stairmaster 10min @80 110min @85 HR stayed low. Fueling: 46g/h + 0.75l*","2.00030326843262","1.03199994564056","","84","","118","127","","","0.595538400657299","79.96","0","0","0","0","","","","","","","","","","","","","","","","","2",""
"Run (w/ Strides)","Run","Returning to run with strides in preparation for coming blocks We're going to be doing strides a couple times per week. To be done immediately after the run. These are not sprints. Overall Scheme 6 reps 20 seconds 1-2 minutes easy recovery in between https://www.youtube.com/watch?v=SuSA9t0wM1Y Important Points Ease into these. Spend the first five seconds slowly come up onto pace. Run tall through the hips, with a slight forward lean Use long-distance form, with normal arm carriage and a relaxed upper body. No excessive arm drive like you would have running a 100m race. Stride should be like you are running a mile-5K. Instead of increasing cadence as high as you can go, emphasize knee drive and output-per-stride at a smooth effort. Let me know if you have any questions","1.56666666666667","","2026-01-02","","21568.240234375","","","","","1.61100614070892","3.71900010108948","","180","","140","160","","","0.629198072708378","71.49","67","17","0","0","","","","","","","","","","","","","","","","","4","5"
"Stairmaster Optional (Added by Peter)","Walk","","2","","2026-01-02","","","","",""," *02/01/2026 Peter Oehlinger: I will skip this workout. I feel quite fatigued. Tomorrow is a key session. I also need to fix sleep and nutrition. I think this high volume with bad sleep and nutrition does not work.*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Long Run - Lindkgel Prep - Knee safe","Run","I want this run to start to mimic your race as much as possible. Pick trails/a route that has similar vert to the race (see note above).","3.5","","2026-01-03","","29955.619140625","","",""," *03/01/2026 Peter Oehlinger: Feeling weak today. The run was pretty slow. One reason was the snow. Looks nice at first but not so nice to run on when you cannot see the roots and rocks. Decided to run down on the street wherever possible. Not risking anything with the ankle. Quite slippery but at least no roots/rocks. Taking the road downhill messed up the vert target… Fueling: 100g/h + 2l* *04/01/2026 Anna DeMonte: No worries on the vert target! Keeping ankle  safe is top priority. Really nice finish to your week. Even fatigued, this was a quality day.*","3.40613794326782","2.44300007820129","","175","","127","155","","","0.594954453699923","137.72","125","4","0","0","","","","","","","","","","","","","","","","","5","9"
"Stairmaster Optional (Added by Peter)","Walk","","2","","2026-01-04","","","","",""," *02/01/2026 Peter Oehlinger: I will skip this workout. I feel quite fatigued. Tomorrow is a key session. I also need to fix sleep and nutrition. I think this high volume with bad sleep and nutrition does not work.*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pain-free Aerobic","Walk","Use 156bpm as an absolute ceiling. Do not use it as a target, just don't go above it. ONLY do modalities that do not bother knees or hips","1.5","","2026-01-04","","3800","","",""," *04/01/2026 Peter Oehlinger: Wouldn’t say that this was training but I am just tired. Still I’m not too worried about it. Will get better soon.* *04/01/2026 Anna DeMonte: All good! Nice finish to the week!*","0.752653062343597","1.40244637053463","","117","","102","117","","","0.573252094680673","27.21","","","","","","","","","","","","","","","","","","","","","1","7"
"Warm-Up","Run","A-Skip B-Skip Over time extend to C-Skip https://www.youtube.com/watch?v=no-VVp6w2Ok&list=PLXxhc63yLfllND4pkN0WEDAy5YMRlf91z&index=43 and some exercises from: https://www.youtube.com/watch?v=n77EcGvGzYI or from this one (second half) https://www.youtube.com/watch?v=OIXVDdH3o6g","","","2026-01-05","","300.559997558594","","","","","0.086875282227993","0.961000025272369","","123","","109","122","","","0.615260066436099","3.43","","","","","","","","","","","","","","","","","","","","","",""
"Pain-free Aerobic","Run","Use 156bpm as an absolute ceiling. Do not use it as a target, just don't go above it. ONLY do modalities that do not bother knees or hips","1.5","","2026-01-05","","14715.51953125","","",""," *05/01/2026 Peter Oehlinger: Felt mich better today. First time in weeks that I slept for 7 Hours almost uninterrupted. HRV is also increasing (wearing my watch again during the night). I’ll probably lose weight but I feel much better when I eat healthy.* *06/01/2026 Anna DeMonte: Awesome! Ah! The watch :D. If you feel better eating more healthy, by all means do it. How were ankle and knees on this?*","1.48556482791901","2.75200009346008","","175","","139","160","","","0.630837666170314","66.14","55","21","0","0","","","","","","","","","","","","","","","","","4","3"
"Warm-Up","Run","A-Skip B-Skip https://www.youtube.com/watch?v=vuUIW5JowjY https://www.youtube.com/watch?v=vuUIW5JowjY Over time extend to C-Skip https://www.youtube.com/watch?v=no-VVp6w2Ok&list=PLXxhc63yLfllND4pkN0WEDAy5YMRlf91z&index=43 and some exercises from: https://www.youtube.com/watch?v=n77EcGvGzYI or from this one (second half) https://www.youtube.com/watch?v=OIXVDdH3o6g","0.111111111111111","","2026-01-06","","572.700012207031","","","","","0.113372780382633","1.40299999713898","","132","","119","140","","","0.611975432290593","4.44","3","0","0","0","","","","","","","","","","","","","","","","","2","5"
"Run (w/ Strides)","Run","Returning to run with strides in preparation for coming blocks We're going to be doing strides a couple times per week. To be done immediately after the run. These are not sprints. Overall Scheme 6 reps 20 seconds 1-2 minutes easy recovery in between https://www.youtube.com/watch?v=SuSA9t0wM1Y Important Points Ease into these. Spend the first five seconds slowly come up onto pace. Run tall through the hips, with a slight forward lean Use long-distance form, with normal arm carriage and a relaxed upper body. No excessive arm drive like you would have running a 100m race. Stride should be like you are running a mile-5K. Instead of increasing cadence as high as you can go, emphasize knee drive and output-per-stride at a smooth effort. Let me know if you have any questions","1.56666666666667","","2026-01-06","","20877.609375","","",""," *06/01/2026 Peter Oehlinger: Legs felt a bit heavy from yesterday’s lifting but strides at the end felt surprisingly good. Usually I am not so relaxed while doing them. Fueling: 25g total*","1.62705755233765","3.56399989128113","","176","","143","163","","","0.631863277648047","72.86","78","16","1","0","","","","","","","","","","","","","","","","","4","5"
"Pain-free Aerobic","Run","Use 156bpm as an absolute ceiling. Do not use it as a target, just don't go above it. ONLY do modalities that do not bother knees or hips","1.5","","2026-01-07","","15000","","",""," *07/01/2026 Peter Oehlinger: Treadmill Easy 10km/h @4% Fueling 25g total + 0.75l*","1.50066363811493","2.77654936178813","","177","","128","147","","","0.598115123987749","60.07","78","0","0","0","","","","","","","","","","","","","","","","","3","5"
"Indoor Rowing","Rowing","","","","2026-01-07","","0","","","","","0.0689302757382393","0","","22","","74","84","","","0.537875400650408","2.06","","","","","","","","","","","","","","","","","","","","","",""
"Peter: Run Power Work (No Sled)","Strength","This isn't a conditioning workout, this is a power workout. Make sure you are completely rested between sets and not carrying much fatigue from exercise to exercise. Really focus on power output with each exercise. Eventually your power will start to fall off, pay attention to when this happens. After this point, the workout is of little effectiveness. Let me know how this sessions feels + how long it takes. Warmup 10 min easy jog or bike Dynamic drills: high knees, A-skips, bounding, hip openers 2×30 m accelerations (gradually building speed) 2×20 m skips for height + distance Plyometric Series 3 rounds total full recovery between rounds (2-3 min) Single-Leg Hops (in place) 6-8/leg Broad Jump 3×2 jumps Bounding (alternating legs) 2×20 m https://www.youtube.com/watch?v=b3124L0KK3Q Lateral Skater Jumps 2×6/side Strength-Speed Block Rest 2–3 min between sets Single-Leg KB Swings 4×6/leg Light–moderate (16–24 kg) https://www.youtube.com/watch?v=kGB1SwDHo3o 4x4 explosive RDLs (slow eccentric to mid shin, explosive concentric) 4x4 Trap Bar Deadlift Jumps (Soft landing, 15-25% 1RM) Box Jump (tall) 4×3 Bodyweight (Don't get sucked into trying to jump the highest box by ninja tucking your legs, focus on getting your center of mass as high as possible) MB Slam or Rotational Throw 3×6 Full power, rest 45-60 s","1","","2026-01-08","","0","","",""," *08/01/2026 Peter Oehlinger: Strength-Speed Block 1) Single-Leg KB Swings 16kg with dumbbell. 2) Explosive RDLs 60kg->65kg Cannot go down mid shin. I get down just below my knee. Should work on my mobility. 3) Trap Bar Deadlift Jumps 30kg->35kg 4) Vertical jump + stick 4x3 Started on my toes. This feels so much better 5) Heavy kettlebell swings with dumbbell 20kg->24kg*","1.53413140773773","0","","","","98","159","","","0.56915654111742","55.66","4","7","0","0","","","","","","","","","","","","","","","","","3","5"
"Warm-Up","Run","A-Skip B-Skip https://www.youtube.com/watch?v=vuUIW5JowjY https://www.youtube.com/watch?v=vuUIW5JowjY Over time extend to C-Skip https://www.youtube.com/watch?v=no-VVp6w2Ok&list=PLXxhc63yLfllND4pkN0WEDAy5YMRlf91z&index=43 and some exercises from: https://www.youtube.com/watch?v=n77EcGvGzYI or from this one (second half) https://www.youtube.com/watch?v=OIXVDdH3o6g","0.166666666666667","","2026-01-08","","482.160003662109","","","","","0.131395280361176","1.01900005340576","","115","","107","127","","","0.600467545914195","4.99","0","0","0","0","","","","","","","","","","","","","","","","","2","5"
"Pain-free Aerobic","Run","Use 156bpm as an absolute ceiling. Do not use it as a target, just don't go above it. ONLY do modalities that do not bother knees or hips","1.5","","2026-01-08","","12392.73046875","","",""," *08/01/2026 Peter Oehlinger: Took it very easy today. Tried to stay around 130 uphill. Downhill was tricky, it's so slippery on the trails. That's almost only ice.*","1.42333495616913","2.41899991035461","","173","","123","140","","","0.597703674930655","56.83","44","0","0","0","","","","","","","","","","","","","","","","","2","5"
"Stairmaster - no running","Walk","Use 156bpm as an absolute ceiling. Do not use it as a target, just don't go above it. Stairmaster instead of running to avoid shin splints/calf issues getting worse.","1.5","","2026-01-09","","6224.31005859375","","",""," *09/01/2026 Peter Oehlinger: Stairmaster @90spm Fueling: 77g/h + 2l First time I tried Precision Fuel and Hydration. Need to get used to the taste but definitely love the 90g gels. So much easier to keep track of the fueling.* *09/01/2026 Anna DeMonte: Proud of you for doing this today PO!*","1.56677079200745","1.10399997234344","","90","","131","142","","","0.597302814433751","62.64","86","0","0","0","","","","","","","","","","","","","","","","","3","3"
"Pain-free Aerobic","Run","Use 156bpm as an absolute ceiling. Do not use it as a target, just don't go above it. ONLY do modalities that do not bother knees or hips","2","","2026-01-10","","19993.189453125","","",""," *10/01/2026 Peter Oehlinger: No pain (ankle, shin/calfs, knee). Fueling: 45g/h*","2.03512406349182","2.72900009155273","","172","","132","152","","","0.601926149083562","83.14","86","2","0","0","","","","","","","","","","","","","","","","","3","5"
"Long Run - Lindkgel Prep - Knee safe","Run","I want this run to start to mimic your race as much as possible. Pick trails/a route that has similar vert to the race (see note above).","3","","2026-01-11","","30000","","",""," *11/01/2026 Peter Oehlinger: Treadmill Varied pace/elevation every 15min 10kmh 4 5 6 7% 9kmh 8 9 10 8% 12kmh 4% 11kmh 4 5% 10kmh 4% Fueling 100g/h + 1.5l (salt water) Some GI issues. Could be the milk yesterday evening or I am not yet used to Precision Fuel and Hydration* *11/01/2026 Peter Oehlinger: Some minor shin pain on the left. So I guess my usual calf stretch helps because I didn’t have any pain on the right. The problem due to my left ankle I cannot go into the stretch on the left.*","3.0004575252533","2.77735420788196","","177","","142","155","","","0.626717709369047","134.22","129","43","0","0","","","","","","","","","","","","","","","","","4","5"
"Pain-free Aerobic","Run","Use 156bpm as an absolute ceiling. Do not use it as a target, just don't go above it. ONLY do modalities that do not bother knees or hips","1.5","","2026-01-12","","16000","","",""," *12/01/2026 Peter Oehlinger: GI issues Some shin pain on the left (2/10).*","1.5005316734314","2.96191311595639","","177","","131","142","","","0.597485673530024","59.96","69","0","0","0","","","","","","","","","","","","","","","","","4","5"
"Optional Pain-free Aerobic","Walk","Stairmaster or cycling only","1","","2026-01-12","","4282.27978515625","","",""," *12/01/2026 Peter Oehlinger: Stairmaster @80 (very easy)*","1.00039160251617","1.18900001049042","","96","","120","128","","","0.600277247624396","39.93","2","0","0","0","","","","","","","","","","","","","","","","","1","5"
"Pain-free Aerobic","Run","Use 156bpm as an absolute ceiling. Do not use it as a target, just don't go above it. ONLY do modalities that do not bother knees or hips","1.5","","2026-01-13","","14310.9404296875","","",""," *13/01/2026 Peter Oehlinger: Postponed strides to tomorrow, was way too icy today.* *16/01/2026 Anna DeMonte: All good!*","1.50021231174469","2.65000009536743","","173","","122","148","","","0.714684211349678","85.79","36","0","0","0","","","","","","","","","","","","","","","","","2","7"
"Optional Pain-free Aerobic","Bike","","1","","2026-01-13","","33677.1015625","166","172","573.737","","1.00026559829712","9.35200023651123","","80","","112","123","","","0.700653682405607","48.66","14","46","0","0","0","","","","","","3","57","0","0","0","","","","","","2","5"
"Run (w/ Strides)","Run","Returning to run with strides in preparation for coming blocks We're going to be doing strides a couple times per week. To be done immediately after the run. These are not sprints. Overall Scheme 6 reps 20 seconds 1-2 minutes easy recovery in between https://www.youtube.com/watch?v=SuSA9t0wM1Y Important Points Ease into these. Spend the first five seconds slowly come up onto pace. Run tall through the hips, with a slight forward lean Use long-distance form, with normal arm carriage and a relaxed upper body. No excessive arm drive like you would have running a 100m race. Stride should be like you are running a mile-5K. Instead of increasing cadence as high as you can go, emphasize knee drive and output-per-stride at a smooth effort. Let me know if you have any questions","1.56666666666667","","2026-01-14","","20887.849609375","","",""," *14/01/2026 Peter Oehlinger: Fueling: 25g Shin pain is gone. I’m surprised how much the self massage yesterday helped. Calfs were quite sore today (both legs). Maybe from the cycling? I don’t really know. But it’s definitely going in the right direction: ankle ✅ knee ✅ shins ✅* *16/01/2026 Anna DeMonte: !!!!!*","1.66459608078003","3.48600006103516","","176","","139","166","","","0.616199341557171","70.91","86","10","1","0","","","","","","","","","","","","","","","","","3","5"
"Optional Pain-free Aerobic","Bike","","1","","2026-01-14","","33090.23828125","180","182","614.039"," *14/01/2026 Peter Oehlinger: Pretty cool: 30-50W more at the same HR compared to two months ago. Started to track my nutrition more closely.*","1.00027668476105","9.18900012969971","","78","","126","140","","","0.74836874395605","55.44","0","56","3","0","0","","","","","","4","1","56","0","0","","","","","","2","5"
"Pain-free Aerobic","Run","Use 156bpm as an absolute ceiling. Do not use it as a target, just don't go above it. ONLY do modalities that do not bother knees or hips","1.5","","2026-01-15","","12821.0498046875","","",""," *15/01/2026 Peter Oehlinger: Easy Calfs are not quite back yet but they are feeling better than yesterday. I’ll skip the run power workout today and do some aerobic work on the bike instead. Not sure if I’ll do the run power workout tomorrow as this might be too close to the long run. Fueling: 25g. Today I was lacking some energy and fluids.*","1.4765202999115","2.41199994087219","","171","","126","150","","","","59.18","45","0","0","0","","","","","","","","","","","","","","","","","2","7"
"Indoor Cycling","Bike","","","","2026-01-15","","75642.421875","159","209","1104.996"," *15/01/2026 Peter Oehlinger: Instead of run power workout Fueling: 75g/h + 1.5l* *16/01/2026 Anna DeMonte: Perfect. Very happy with this week so far*","2.00040483474731","10.503999710083","","90","","124","142","","","0.671049203955323","89.53","8","90","22","0","0","","","","","","6","114","0","0","0","","","","","","3","3"
"Pain-free Aerobic","Run","Use 156bpm as an absolute ceiling. Do not use it as a target, just don't go above it. ONLY do modalities that do not bother knees or hips","1.5","","2026-01-16","","15380","","",""," *16/01/2026 Peter Oehlinger: Easy running on the treadmill. Legs felt ok. I varied the pace and slope. Total elevation and distance are correct. Fueling: 50g/h + 0.75l GI issues. Wasn't feeling great today. Just stayed at a friends place until 10pm and this distroyed my sleep routine. Hopefully I get back into the rythm quickly.*","1.50052332878113","2.84715481610842","","172","","123","154","","","0.602422359178309","60.94","29","3","0","0","","","","","","","","","","","","","","","","","3","7"
"Long Run - Lindkgel Prep - Knee safe","Run","I want this run to start to mimic your race as much as possible. Pick trails/a route that has similar vert to the race (see note above).","3.25","","2026-01-17","","37640.41015625","","",""," *17/01/2026 Peter Oehlinger: Today felt good. I felt much stronger. Probably due to skipping the run power workout this week. Not that this is a good thing, just an explanation. I felt the shins, the ankle and in the end also the knees BUT nothing more than feeling it a bit (pain 1/10). - I was a bit worried about the shins but it didn’t worsen over the run and at times fully disappeared. - The run was more demanding for the ankle because of running in the frozen snow. It needed to stabilize a lot and this is what I felt. This is a good thing. - For the knees I only felt the patella at the end a bit but also this was to be expected considering I did last weeks long run indoors and had no downhill stimulus. Overall everything is moving in the right direction. Fueling: 106g/h + <1l Sorry I forgot to do the glute activation before the run. Not that I don’t care I just didn’t check TP again and forgot about it.* *17/01/2026 Anna DeMonte: No worries on the glute activation. This is a good sign with the shins but something we need to be very very careful of moving forward. Tomorrow, if you start your run with strides and feel the shins, we need to move to stairmaster or pain free aeorbic for the whole day. This was a big week of progression on the shin/ankle/knee front, and we do not want to go back now!*","3.84601044654846","2.71900010108948","","176","","133","153","","","0.601086578278351","159.2","160","15","0","0","","","","","","","","","","","","","","","","","4","3"
